Day,Calls,Messages,Presences
Sun,12.7656309934791,14.8847286394867,6.96167478221796
Mon,12.3053317990027,14.5447798712025,14.7846517726507
Tue,10.7096279248178,12.540997342654,16.0384255559652
Wed,11.5228231683928,13.2867300280099,17.1755727354513
Thu,12.6889144610664,14.4514136601949,15.1265763345876
Fri,18.764863828155,17.2799310526442,16.5321801181874
Sat,21.2428078250863,13.0114194058079,13.3809187009399
