Hour,Calls,Messages,Presences
04,0.0232504068821204,0.302139880804157,0.876279073298111
05,0.255754475703325,0.355263376330163,0.878864737049857
06,1.49965124389677,0.748709265069642,0.813179389081193
07,4.27807486631016,2.12992014874579,2.84275938240117
08,4.47570332480818,3.36670152896061,7.71908400133601
09,1.79028132992327,2.64289390241878,10.2139174181697
10,2.29016507788886,3.94275943357073,10.3946054988765
11,3.52243664264125,4.39430914554178,9.24721127861784
12,5.01046268309695,4.83755831133689,11.5523898175138
13,4.99883747965589,4.70640968175706,13.201545135726
14,7.75401069518717,5.05669273038166,8.16116133782717
15,9.85817251801907,6.69522054551189,4.27742321764742
16,11.1020692862125,7.37586533193884,2.55764844082104
17,9.41641478725878,7.61160084333549,2.11735023076456
18,8.33527086724018,7.65144346498,2.20445626100686
19,6.20785863752616,7.08368610654581,2.51717924485334
20,4.71983259707045,7.22645550077195,2.38635414768932
21,4.10369681469426,7.10526752660325,1.87270848515212
22,3.82469193210881,6.86455168750104,1.37979557600049
23,4.34782608695652,5.48334080382489,1.11133725784903
00,1.40664961636829,2.53664691136677,0.98658491224874
01,0.430132527319228,0.99274532264223,0.921160502823829
02,0.267379679144385,0.511313644437804,0.876824672071416
03,0.0813764240874215,0.37850490562279,0.89017998117447
