Hour,Calls,Messages,Presences
04,0.303260045489007,0.0192433514220837,0.0379945224563459
05,0.0,0.00384867028441673,0.0361852594822342
06,0.227445034116755,0.500327136974175,0.0374668207555633
07,0.90978013646702,1.47788938921603,2.04333637138741
08,10.0075815011372,2.01670322903437,9.62075586483901
09,1.06141015921152,1.08532502020552,15.7682545210843
10,1.89537528430629,2.1398606781357,12.4053623539114
11,6.14101592115239,3.49459261825039,9.90232241518514
12,5.45868081880212,3.89870299811415,11.6692184813197
13,3.71493555724033,3.97567640380249,16.6875108838476
14,7.96057619408643,4.31435938883116,12.2152389697152
15,6.52009097801365,6.47731208867336,4.30174887882235
16,9.93176648976497,8.75957356733249,1.75980978615266
17,11.0689916603487,9.69480044644575,0.81823918004202
18,8.7945413191812,9.86799060924451,0.710437261167864
19,5.00379075056861,9.94881268521726,0.56396234622207
20,4.85216072782411,9.27914405572875,0.472066864328647
21,5.30705079605762,7.32401955124505,0.343533807209461
22,4.2456406368461,5.81149212946927,0.220956240713392
23,3.26004548900682,5.03406073201709,0.136523968588179
00,1.59211523881729,2.7825886156333,0.086844622757362
01,0.833965125094769,1.54716545433553,0.0504332054033639
02,0.90978013646702,0.407959050148174,0.0413868905328053
03,0.0,0.138552130239002,0.0704104840758473
