Hour,Calls,Messages,Presences
04,0.518836002706971,0.347564900236001,1.47498817984471
05,0.225580870742161,0.300364728599013,1.43374535902154
06,0.135348522445297,0.356146749624544,1.32134938335481
07,0.609068351003835,0.596438532503755,1.23217571671012
08,0.947439657117076,0.918257884574126,1.29338972329225
09,2.18813444619896,1.77215189873418,1.83799931447744
10,5.30115046244079,3.74597725809912,2.14462668280462
11,5.97789307466727,5.71122076807552,3.35636676757534
12,5.97789307466727,5.79274833726668,6.17109639952032
13,6.51928716444846,6.61231495387256,8.33829516669438
14,6.99300699300699,6.20467710791676,9.93589713817553
15,6.69975186104218,7.04140742329972,11.2101516788336
16,9.3841642228739,7.38897232353572,8.94839166932175
17,9.31648996165125,7.59493670886076,7.37559112387616
18,7.85021430182721,6.59515125509547,6.45208633868716
19,7.10579742837807,6.9083887577773,4.59866741101908
20,3.87999097676517,6.89551598369449,4.90585211476279
21,3.81231671554252,6.45355074018451,4.46843670202341
22,3.81231671554252,6.17034971036258,3.25260949086481
23,3.60929393187458,4.59987127225917,2.77153613716396
00,3.42882923528085,3.8403776013731,2.22627632132616
01,3.02278366794496,2.35571765715512,2.03353115644312
02,1.89487931423415,1.12851319459343,1.67395692354566
03,0.789533047597564,0.669384252306372,1.54298310066128
